Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
Dumbo,47.0,352,49.0,4314,1941,Sterling Holloway,Jesper Klein,Edward S. Brophy,Sam Armstrong,63,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Maze,100.0,12,49.0,55,2001,Rob Morrow,Laura Linney,Craig Sheffer,Rob Morrow,97,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,355.0,367.0,391.0,0.0,0.0,0.0,232.0,0.0
High Life,82.0,223,42.0,912,2009,Timothy Olyphant,Stephen Eric McIntyre,Joe Anderson (VI),Gary Yates,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Perfect,17.0,12,54.0,13,1985,John Travolta,Jann Wenner,Jamie Lee Curtis,James Bridges,120,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,2000.0,0.0,0.0,0.0,21.0,0.0
The Kid,45.0,40,46.0,231,1921,Charles Chaplin,Jackie Coogan,Edna Purviance,Charles Chaplin,60,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,0.0,16452.0
Domino,33.0,69,18.0,71,2005,Keira Knightley,Mickey Rourke,Edgar Ramirez,Tony Scott,128,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,12000.0,5702.0
Blaze,95.0,88,71.0,816,1989,Paul Newman,Lolita Davidovich,Jerry Hardin,Ron Shelton,117,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9.0,1.0,0.0,0.0,0.0,0.0,367.0,197.0,367.0,0.0,0.0,0.0,41.0,0.0
Serenity,20.0,186,29.0,1436,2005,Nathan Fillion,Gina Torres,Alan Tudyk,Joss Whedon,119,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,57.0,0.0,2853.0
The Squeeze,14.0,7,30.0,348,2015,Jeremy Sumpter,Christopher McDonald,Jillian Murray,Terry Jastrow,95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,454.0,0.0,0.0,0.0,232.0,0.0
Diane,93.0,91,69.0,77,2018,Carlee Avers,Jason Alan Smith,Margaret Rose Champagne,Michael Mongillo,82,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Vice,66.0,344,59.0,4885,2015,Thomas Jane,Bruce Willis,Ambyr Childers,Brian A. Miller,96,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,13000.0,367.0,0.0,0.0,0.0,232.0,0.0
Don't Go,39.0,23,24.0,40,2018,Stephen Dorff,Melissa George,Simon Delaney,David Gleeson,92,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Vanishing,85.0,39,48.0,627,1993,Jeff Bridges,Kiefer Sutherland,Nancy Travis,George Sluizer,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.0,1.0,0.0,0.0,0.0,0.0,12000.0,367.0,359.0,0.0,0.0,0.0,232.0,0.0
The Isle,67.0,9,85.0,527,2000,Jung Suh,Kim Yuh-suk,Yu-seok Kim,Kim Ki-duk,89,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Overlord,81.0,209,67.0,3965,1975,Brian Stirner,Davyd Harries,Nicholas Ball,Stuart Cooper,85,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Nobody's Fool,24.0,41,35.0,650,1994,Paul Newman,Jessica Tandy,Bruce Willis,Robert Benton,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.0,1.0,2.0,1.0,0.0,0.0,367.0,509.0,13000.0,2.0,1.0,0.0,232.0,0.0
Slice,57.0,21,35.0,231,2018,Chance the Rapper,Zazie Beetz,Paul Scheer,Austin Vesely,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,190.0,0.0,0.0,0.0,232.0,0.0
Halloween,79.0,361,70.0,9503,2007,Malcolm McDowell,Brad Dourif,Tyler Mane,Rob Zombie,109,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,367.0,367.0,764.0,0.0,0.0,12.0,0.0,4400.0
Madeline's Madeline,88.0,116,43.0,338,2018,Helena Howard,Okwui Okpokwasili,Julee Cerda,Josephine Decker,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Dark,87.0,23,56.0,483,2018,Nadia Alexander,Toby Nichols,Karl Markovics,Justin P. Lange,94,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Venom,29.0,337,80.0,39734,2005,Agnes Bruckner,Jonathan Jackson,Laura Ramsey,Jim Gillespie,85,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,400.0,613.0,960.0,0.0,0.0,0.0,13.0,0.0
I Still See You,8.0,13,53.0,241,2018,Bella Thorne,Richard Harmon,Amy Price-Francis,Scott Speer,96,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,367.0,367.0,0.0,0.0,0.0,35.0,0.0
Galveston,73.0,52,54.0,396,2018,Ben Foster,Elle Fanning,Beau Bridges,Mlanie Laurent,90,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,552.0,0.0,0.0,0.0,232.0,0.0
Social Animals,88.0,17,74.0,102,2018,Nol Wells,Josh Radnor,Aya Cash,Theresa Bennett,90,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Little Women,27.0,26,72.0,227,1949,June Allyson,Peter Lawford,Elizabeth Taylor,Mervyn LeRoy,121,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,2.0,367.0,367.0,367.0,1.0,0.0,18.0,54.0,29370.0
The Super,40.0,10,68.0,263,1991,Joe Pesci,Vincent Gardenia,Madolyn Smith Osborne,Rod Daniel,86,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,1.0,2.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Rider,97.0,176,82.0,1986,2018,Brady Jandreau,Tim Jandreau,Lilly Jandreau,Chlo Zhao,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Spiral,40.0,10,62.0,42,2007,Joel David Moore,Amber Tamblyn,Zachary Levi,Adam Green,90,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,367.0,367.0,0.0,0.0,0.0,134.0,0.0
The Children Act,73.0,109,62.0,643,2018,Emma Thompson,Stanley Tucci,Ben Chaplin,Richard Eyre,105,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,1.0,1.0,0.0,0.0,0.0,367.0,367.0,258.0,0.0,0.0,0.0,14.0,0.0
Jinn,95.0,21,84.0,149,2014,Dominic Rains,Ray Park,William Atherton,Ajmal Zaheer Ahmad,97,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,317.0,0.0,0.0,0.0,232.0,0.0
Papillon,52.0,106,66.0,1179,1973,Steve McQueen,Dustin Hoffman,Woodrow Parfrey,Franklin J. Schaffner,150,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,7.0,2.0,0.0,0.0,367.0,367.0,367.0,1.0,1.0,10.0,76.0,0.0
Destination Wedding,53.0,83,58.0,788,2018,Keanu Reeves,Winona Ryder,Dj Dallenbach,Victor Levin,90,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,0.0,0.0,18000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Room For Rent,88.0,8,52.0,164,2017,Mark Little (V),Brett Gelman,Mark McKinney,Matthew Atkinson,89,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Final Score,69.0,32,37.0,283,2018,Dave Bautista,Pierce Brosnan,Ray Stevenson,Scott Mann,104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,8.0,0.0
Unlovable,81.0,16,72.0,102,2018,Charlene deGuzman,John Hawkes,Melissa Leo,Suzi Yoonessi,82,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,2.0,1.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
BlacKkKlansman,96.0,418,82.0,10719,2018,John David Washington,Adam Driver,Laura Harrier,Spike Lee,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0,0.0,0.0,0.0,367.0,367.0,367.0,1.0,0.0,97.0,0.0,0.0
Look Away,17.0,12,54.0,387,2018,India Eisley,Mira Sorvino,Jason Isaacs,Assaf Bernstein,103,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,367.0,978.0,367.0,0.0,0.0,0.0,232.0,0.0
Pimp,56.0,9,96.0,456,2010,Robert Cavanah,Danny Dyer,Billy Boyd,Robert Cavanah,87,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,798.0,857.0,0.0,0.0,0.0,232.0,0.0
What Keeps You Alive,82.0,45,51.0,548,2018,Hannah Emily Anderson,Brittany Allen,Martha MacIsaac,Colin Minihan,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,616.0,0.0,0.0,0.0,6.0,0.0
Await Further Instructions,80.0,20,27.0,574,2018,David Bradley,Grant Masters,Neerja Naik,Johnny Kevorkian,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Viking Destiny (Of Gods and Warriors),13.0,8,32.0,60,2018,Martyn Ford,Paul Freeman,Ian Beattie,David L.G. Hughes,90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,193.0,367.0,0.0,0.0,0.0,232.0,0.0
The Night Comes For Us,90.0,29,84.0,883,2018,Joe Taslim,Iko Uwais,Julie Estelle,Timo Tjahjanto,121,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1000.0,367.0,0.0,0.0,0.0,232.0,0.0
Ant-Man and the Wasp,88.0,417,76.0,24280,2018,Paul Rudd,Evangeline Lilly,Michael Pea,Peyton Reed,118,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,5.0,235.0,0.0
