Title,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count,Year,Cast 1,Cast 2,Cast 3,director_name,Runtime,Genre_Action,Genre_Art&Foreign,Genre_Classics,Genre_Comedy,Genre_Documentary,Genre_Drama,Genre_Horror,Genre_Kids&Family,Genre_Mystery,Genre_Romance,Genre_SciFi,Rating_G,Rating_NC17,Rating_NR,Rating_PG,Rating_PG-13,Rating_R,cast1_oscar_nom,cast1_oscars,cast2_oscar_nom,cast2_oscars,cast3_oscar_nom,cast3_oscars,cast1_FB_likes,cast2_FB_likes,cast3_FB_likes,dir_oscar_nom,dir_oscars,director_awards,director_facebook_likes,cast_total_facebook_likes
The Miracle Season,51.0,43,83.0,872,2018,Helen Hunt,Erin Moriarty (II),Danika Yarosh,Sean McNamara,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,80.0,0.0
Operation Red Sea,80.0,10,64.0,442,2018,Yi Zhang,Du Jiang,Johnny Huang,Dante Lam,141,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,27.0,232.0,0.0
The Con Is On,0.0,5,44.0,157,2018,Uma Thurman,Tim Roth,Maggie Q,James Haslam,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Incident In a Ghost Land (Ghostland),56.0,27,56.0,482,2018,Crystal Reed,Anastasia Phillips,Emilia Jones,Pascal Laugier,91,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
14 Cameras,22.0,9,23.0,109,2018,Amber Midthunder,Tait Fletcher,Sharon Anne Henderson,Seth Fuller,90,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Father of the Year,0.0,11,52.0,322,2018,David Spade,Nat Faxon,Joey Bragg,Tyler Spindel,94,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,214.0,367.0,0.0,0.0,0.0,232.0,0.0
Maze Runner: The Death Cure,43.0,169,58.0,17025,2018,Dylan O'Brien (II),Kaya Scodelario,Thomas Sangster,Wes Ball,114,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,47.0,0.0
Hostiles,71.0,210,74.0,5374,2018,Christian Bale,Rosamund Pike,Wes Studi,Scott Cooper,135,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,1.0,1.0,0.0,0.0,0.0,23000.0,367.0,855.0,0.0,0.0,0.0,108.0,0.0
Equal Means Equal,75.0,8,70.0,68,2016,Gloria Steinem,Patricia Arquette,Lakshmi Puri,Kamala Lopez,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Forever My Girl,24.0,49,79.0,1700,2018,Alex Roe,Jessica Rothe,Abby Ryder Fortson,Bethany Ashton Wolf,104,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Vazante,85.0,33,65.0,124,2018,Adriano Carvalho,Luana Nastas,Juliana Carneiro da Cunha,Daniela Thomas,116,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Strange Ones,54.0,28,44.0,333,2018,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Christopher Radcliff,82,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Paddington 2,100.0,238,88.0,8038,2018,Hugh Grant,Ben Whishaw,Brendan Gleeson,Paul King (VII),105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Den of Thieves,41.0,131,62.0,4235,2018,Gerard Butler,Pablo Schreiber,"O'Shea Jackson, Jr.",Christian Gudegast,140,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Son of Bigfoot,76.0,21,40.0,367,2018,Cinda Adams,Mari Devon,Kirk Thornton,Jeremy Degruson,92,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,0.0,0.0
Bombshell: The Hedy Lamarr Story,96.0,89,85.0,1152,2017,Mel Brooks,Diane Kruger,Peter Bogdanovich,Alexandra Dean,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Insult (L'insulte),86.0,112,89.0,1063,2018,Kamel El Basha,Adel Karam,Camille Salameh,Ziad Doueiri,113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,4.0,367.0,0.0,0.0,0.0,232.0,0.0
Most Likely to Murder,62.0,13,45.0,118,2018,Rachel Bloom,Vincent Kartheiser,Billy Eichner,Dan Gregor,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,845.0,367.0,0.0,0.0,0.0,232.0,0.0
Mary and The Witch's Flower,89.0,88,70.0,1428,2018,Hana Sugisaki,Rynosuke Kamiki,Yuki Amami,Hiromasa Yonebayashi,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Adventures in Public School (Public Schooled),71.0,7,62.0,154,2018,Judy Greer,Daniel Doheny,Siobhan Williams,Kyle Rideout,86,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Black Cop,82.0,11,59.0,55,2017,Ronnie Rowe,Sophia Walker,Sebastien Labelle,Cory Bowles,91,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
All I Wish (A Little Something for Your Birthday),18.0,22,46.0,79,2018,Sharon Stone,Ellen Burstyn,Famke Janssen,Susan Walter,94,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1.0,0.0,6.0,1.0,0.0,0.0,367.0,1000.0,367.0,0.0,0.0,0.0,232.0,0.0
Tremors: A Cold Day in Hell,40.0,5,31.0,148,2018,Jamie Kennedy,Michael Gross,Tanya van Graan,Don Michael Paul,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,536.0,170.0,0.0,0.0,0.0,70.0,0.0
Supercon,17.0,12,36.0,37,2018,Ryan Kwanten,Maggie Grace,Mike Epps,Zak Knutson,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,706.0,0.0,0.0,0.0,232.0,0.0
The Escape of Prisoner 614,20.0,10,56.0,66,2018,Ron Perlman,Martin Starr,Jake McDorman,Zach Golden,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,985.0,535.0,0.0,0.0,0.0,232.0,0.0
Duck Butter,57.0,35,46.0,108,2018,Alia Shawkat,Laia Costa,Mae Whitman,Miguel Arteta,93,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,367.0,367.0,0.0,0.0,17.0,44.0,0.0
Shakespeare Wallah,89.0,9,64.0,181,1966,Shashi Kapoor,Felicity Kendal,Geoffrey Kendal,James Ivory,120,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,3.0,0.0,0.0,133.0,0.0
The Greatest Showman,56.0,252,86.0,25713,2017,Hugh Jackman,Zac Efron,Michelle Williams,Michael Gracey,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,4.0,0.0,20000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Father Figures,17.0,47,25.0,4349,2017,Owen Wilson,Ed Helms,J.K. Simmons,Lawrence Sher,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1.0,367.0,367.0,24000.0,0.0,0.0,0.0,232.0,0.0
The Commuter,56.0,205,39.0,5241,2018,Liam Neeson,Vera Farmiga,Patrick Wilson,Jaume Collet-Serra,105,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,14000.0,367.0,0.0,0.0,0.0,4.0,174.0,0.0
Molly's Game,82.0,292,84.0,11690,2018,Jessica Chastain,Idris Elba,Kevin Costner,Aaron Sorkin,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Phantom Thread,91.0,334,70.0,7709,2018,Daniel Day-Lewis,Lesley Manville,Vicky Krieps,Paul Thomas Anderson,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,2.0,1.0,0.0,0.0,0.0,367.0,149.0,33.0,2.0,0.0,175.0,0.0,0.0
Killing for Love (Das Versprechen),100.0,9,79.0,202,2017,Daniel Brhl,Imogen Poots,Jens Sring,Karin Steinberger,124,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Us and Them,63.0,19,66.0,168,2018,Jack Roth (IV),Sophie Colquhoun,Tim Bentinck,Joseph Martin,83,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Post,88.0,387,73.0,12200,2018,Tom Hanks,Meryl Streep,Alison Brie,Steven Spielberg,115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6.0,2.0,21.0,3.0,0.0,0.0,15000.0,11000.0,2000.0,7.0,2.0,325.0,14000.0,0.0
In the Fade (Aus dem Nichts),77.0,148,71.0,899,2017,Diane Kruger,Denis Moschitto,Johannes Krisch,Fatih Akin,106,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,766.0,0.0
Mohawk,83.0,42,26.0,209,2018,Kaniehtiio Horn,Ezra Buzzington,Eamon Farren,Ted Geoghegan,92,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Tribes of Palos Verdes,64.0,22,58.0,255,2017,Jennifer Garner,Maika Monroe,Cody Fern,Emmett Malloy,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,314.0,367.0,0.0,0.0,0.0,232.0,0.0
Kodachrome,71.0,49,69.0,579,2018,Jason Sudeikis,Ed Harris,Elizabeth Olsen,Mark Raso,105,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Pass Over,92.0,13,59.0,36,2018,Jon Michael Hill,Julian Parker (III),Ryan Hallahan,Spike Lee,74,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,1.0,0.0,97.0,0.0,0.0
Come Sunday,68.0,34,60.0,142,2018,Chiwetel Ejiofor,Martin Sheen,Jason Segel,Joshua Marston,106,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,13.0,0.0
Braven,77.0,30,77.0,1828,2018,Jason Momoa,Garret Dillahunt,Jill Wagner,Lin Oeding,94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
10x10,67.0,9,20.0,208,2018,Luke Evans,Kelly Reilly,Noel Clarke,Suzi Ewing,88,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,928.0,0.0,0.0,0.0,232.0,0.0
Star Wars: The Last Jedi,91.0,462,43.0,218683,2017,Mark Hamill,Carrie Fisher,Adam Driver,Rian Johnson,152,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,0.0,367.0,367.0,367.0,0.0,0.0,48.0,0.0,0.0
The Titan,18.0,28,15.0,752,2018,Sam Worthington,Taylor Schilling,Tom Wilkinson,Lennart Ruff,97,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,367.0,367.0,1000.0,0.0,0.0,0.0,232.0,0.0
Backstabbing for Beginners,38.0,24,43.0,177,2018,Theo James,Jacqueline Bisset,Belim Bilgin,Per Fly,108,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,522.0,367.0,0.0,0.0,0.0,232.0,0.0
Roxanne Roxanne,70.0,30,63.0,213,2018,Chant Adams,Nia Long,Mahershala Ali,Michael Larnell,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,367.0,826.0,367.0,0.0,0.0,0.0,232.0,0.0
Half Magic,55.0,29,56.0,141,2018,Heather Graham,Angela Kinsey,Stephanie Beatriz,Heather Graham,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Sweet Virginia,78.0,55,60.0,1266,2017,Jon Bernthal,Christopher Abbott,Imogen Poots,Jamie M. Dagg,93,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,321.0,367.0,0.0,0.0,0.0,232.0,0.0
Madame,44.0,36,53.0,165,2018,Toni Collette,Harvey Keitel,Rossy de Palma,Amanda Sthers,91,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Last Movie Star,54.0,24,72.0,341,2018,Burt Reynolds,Ariel Winter,Clark Duke,Adam Rifkin,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,89.0,0.0
Thelma,93.0,147,77.0,3234,2017,Eili Harboe,Kaya Wilkins,Henrik Rafaelsen,Joachim Trier,116,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,46.0,232.0,0.0
Pyewacket,82.0,33,56.0,412,2018,Chloe Rose,Eric Osborne,Laurie Holden,Adam MacDonald,88,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
I Remember You (Eg Man Big),86.0,7,55.0,394,2017,Jhannes Haukur Jhannesson,Thor Kistjnsson,Thor Kristjansson,Oskar Thor Axelsson,105,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Terrifier,67.0,12,54.0,756,2018,David Howard Thornton,Catherine Corcoran,Jenna Kanell,Damien Leone,85,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Acts of Violence,0.0,13,33.0,266,2018,Bruce Willis,Cole Hauser,Shawn Ashmore,Brett Donowho,86,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,787.0,367.0,0.0,0.0,0.0,232.0,0.0
Status Update,0.0,5,51.0,301,2018,Ross Lynch,Olivia Holt,Courtney Eaton,Scott Speer,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,35.0,0.0
Basmati Blues,11.0,28,49.0,257,2018,Brie Larson,Utkarsh Ambudkar,Donald Sutherland,Dan Baron,105,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Beast of Burden,25.0,8,9.0,97,2018,Daniel Radcliffe,Pablo Schreiber,Grace Gummer,Jesper Ganslandt,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,367.0,481.0,0.0,0.0,0.0,232.0,0.0
Outside In,95.0,41,75.0,317,2018,Jay Duplass,Edie Falco,Kaitlyn Dever,Lynn Shelton,109,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,659.0,363.0,0.0,0.0,0.0,100.0,0.0
First Match,85.0,20,81.0,182,2018,Elvire Emmanuel,Yahya Abdul Mahteen II,Colman Domingo,Olivia Newman,102,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
PARADOX,29.0,7,37.0,40,2018,Neil Young,Lukas Nelson,Micah Nelson,Daryl Hannah,73,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
4/20 Massacre,57.0,7,46.0,20,2018,Jamie Bernadette,Stacey Danger,Vanessa Rose Parker,Dylan Reynolds,84,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Justice League,40.0,387,71.0,127303,2017,Ben Affleck,Henry Cavill,Amy Adams,Zack Snyder,110,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6.0,0.0,367.0,15000.0,367.0,0.0,0.0,15.0,0.0,0.0
Court,98.0,55,80.0,755,2015,Chaitanya Tamhane,Geetanjali Kulkarni,Vira Sathidar,Chaitanya Tamhane,116,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Jumanji: Welcome to the Jungle,76.0,229,87.0,39155,2017,Dwayne Johnson,Jack Black,Kevin Hart,Jake Kasdan,112,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,367.0,367.0,0.0,0.0,0.0,52.0,0.0
Lady Bird,99.0,384,79.0,22071,2017,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Greta Gerwig,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,1.0,0.0,0.0,0.0,367.0,549.0,85.0,1.0,0.0,0.0,232.0,0.0
Small Town Crime,77.0,35,67.0,635,2018,John Hawkes,Anthony Anderson,Octavia Spencer,Eshom Nelms,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,3.0,1.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Porto,50.0,30,41.0,92,2017,Anton Yelchin,Lucie Lucas,Paulo Calatr,Gabe Klinger,76,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
1:54,57.0,7,59.0,97,2018,Sophie Nlisse,Antoine-Olivier Pilon,Lou-Pascal Tremblay,Yan England,106,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Call Me by Your Name,95.0,346,86.0,15420,2018,Armie Hammer,Timothe Chalamet,Michael Stuhlbarg,Luca Guadagnino,130,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,816.0,0.0,0.0,0.0,64.0,0.0
The Vanishing of Sidney Hall,11.0,27,79.0,457,2018,Logan Lerman,Elle Fanning,Kyle Chandler,Shawn Christensen,120,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Song of Granite,85.0,26,50.0,65,2017,Macdara  Fatharta,Mchel  Chonfhaola,Colm Seoighe,Pat Collins,104,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Frank Serpico,75.0,8,50.0,83,2017,Frank Serpico,Luc Sante,John Turturro,Antonino D'Ambrosio,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
The Shape of Water,92.0,434,72.0,25501,2017,Sally Hawkins,Michael Shannon,Richard Jenkins,Guillermo del Toro,119,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2.0,0.0,2.0,0.0,2.0,0.0,594.0,367.0,367.0,1.0,1.0,95.0,0.0,0.0
Imitation Girl,100.0,7,44.0,95,2018,Lauren Ashley Carter,Neimah Djourabchi,Adam David Thompson,Natasha Kermani,82,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Kickboxer: Retaliation,92.0,13,71.0,451,2018,Alain Moussi,Christopher Lambert,Jean-Claude Van Damme,Dimitri Logothetis,110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,367.0,1000.0,367.0,0.0,0.0,0.0,232.0,0.0
"I, Tonya",89.0,366,88.0,12188,2018,Margot Robbie,Sebastian Stan,Allison Janney,Craig Gillespie,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,1.0,1.0,367.0,367.0,367.0,0.0,0.0,0.0,44.0,0.0
Allure,45.0,29,42.0,56,2018,Evan Rachel Wood,Julia Sarah Stone,Denis O'Hare,Carlos Sanchez,105,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,896.0,0.0,0.0,0.0,232.0,0.0
Josie,13.0,8,30.0,108,2018,Sophie Turner,Dylan McDermott,Jack Kilmer,Eric England,87,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,15.0,0.0
Demon House,45.0,11,62.0,353,2018,Zak Bagans,Jay Wasley,Billy Tolley,Zak Bagans,111,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Juggernaut,57.0,7,60.0,18,2018,Amanda Crew,David Cubitt,Jack Kesy,Daniel DiMarco,105,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Thor: Ragnarok,93.0,410,87.0,94104,2017,Chris Hemsworth,Tom Hiddleston,Mark Ruffalo,Taika Waititi,130,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3.0,0.0,26000.0,367.0,367.0,0.0,0.0,75.0,232.0,0.0
The Star,42.0,52,71.0,2963,1952,Bette Davis,Sterling Hayden,Natalie Wood,Stuart Heisler,91,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.0,2.0,0.0,0.0,3.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Sleeping Giant,87.0,23,76.0,389,2015,Jackson Martin,Katelyn McKerracher,Nick Serino,Andrew Cividino,89,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,0.0,0.0,0.0,232.0,0.0
Murder On The Orient Express,61.0,285,53.0,24805,2017,Kenneth Branagh,Penelope Cruz,Willem Dafoe,Kenneth Branagh,114,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2.0,0.0,0.0,0.0,4.0,0.0,367.0,367.0,367.0,1.0,0.0,85.0,0.0,0.0
"Three Billboards Outside Ebbing, Missouri",90.0,395,87.0,22602,2017,Frances McDormand,Woody Harrelson,Sam Rockwell,Martin McDonagh,115,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,2.0,3.0,0.0,2.0,1.0,367.0,367.0,367.0,0.0,0.0,46.0,454.0,0.0
The Man From Earth: Holocene,50.0,6,58.0,260,2017,David Lee Smith,Michael Dorn,William Katt,Richard Schenkman,98,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,748.0,505.0,0.0,0.0,7.0,29.0,0.0
Wonder Wheel,31.0,192,41.0,1645,2017,Jim Belushi,Juno Temple,Justin Timberlake,Woody Allen,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,367.0,3000.0,7.0,1.0,289.0,11000.0,0.0
